nearest_zone_name,avg_anomaly_score,faulty_rate,sensor_count,zone_stress
0,0.6443402497810613,0.6857142857142857,210,0.660889864154351
1,0.631631573035603,0.6635514018691588,214,0.6443995045690254
2,0.6336557378039049,0.6848739495798319,238,0.6541430225142757
3,0.63622088551518,0.6722689075630253,238,0.650640094334318
4,0.6361414518580398,0.6666666666666666,201,0.6483515377814906
5,0.6304613838516545,0.6273764258555133,263,0.629227400653198
6,0.6436292482358561,0.7017543859649122,228,0.6668793033274785
7,0.6364261783854017,0.6657963446475196,383,0.6481742448902488
8,0.6393270118190387,0.6511627906976745,172,0.644061323370493
9,0.6436694386624368,0.7037037037037037,189,0.6676831446789435
10,0.6308134400904822,0.671875,192,0.6472380640542893
11,0.6428363922808578,0.6872246696035242,227,0.6605917032099244
12,0.6367421424994189,0.6744186046511628,215,0.6518127273601164
13,0.6372070209384588,0.673469387755102,196,0.6517119676651162
14,0.6305235481947615,0.6266666666666667,225,0.6289807955835236
15,0.6397747162856745,0.6749311294765841,363,0.6538372815620384
16,0.6270694385559104,0.6174496644295302,596,0.6232215289053582
17,0.6443456890646823,0.6732673267326733,202,0.6559143441318787
18,0.6388642724232927,0.6678321678321678,858,0.6504514305868427
19,0.6342714550063969,0.639871382636656,311,0.6365114260585005
20,0.625648399327228,0.6277173913043478,368,0.6264759961180759
21,0.635822547929488,0.6756756756756757,148,0.651763799027963
22,0.6387360158352796,0.6927374301675978,358,0.660336581568207
23,0.6332204567079412,0.6707317073170732,410,0.6482249569515941
24,0.6320341090369131,0.6713780918727915,283,0.6477717021712646
25,0.6390715644772739,0.6621621621621622,370,0.6483078035512292
26,0.6439673592308548,0.6916666666666667,360,0.6630470822051795
27,0.6308357342761545,0.6642857142857143,280,0.6442157262799784
28,0.6234608484418837,0.6265060240963856,415,0.6246789187036844
29,0.6286305005016672,0.6825396825396826,252,0.6501941733168735
30,0.6303933106817037,0.6709677419354839,310,0.6466230831832158
31,0.6437708963807407,0.6975308641975309,162,0.6652748835074567
